onet_title,ghostjob,jobclass,state,n_jobs_postings
Market Research Analysts and Marketing Specialists,t,2,WI,1007
Market Research Analysts and Marketing Specialists,t,NA,MO,67
Market Research Analysts and Marketing Specialists,t,NA,WI,72
Market Research Analysts and Marketing Specialists,NA,NA,MO,6227
Market Research Analysts and Marketing Specialists,NA,NA,WI,8047
Mechanical Engineers,f,0,MO,488
Mechanical Engineers,f,0,WI,1146
Mechanical Engineers,f,1,MO,1248
Mechanical Engineers,f,1,WI,4840
Mechanical Engineers,f,NA,MO,118
Mechanical Engineers,f,NA,WI,302
Mechanical Engineers,t,0,MO,170
Mechanical Engineers,t,0,WI,176
Mechanical Engineers,t,1,MO,41
Mechanical Engineers,t,1,WI,73
Mechanical Engineers,t,2,MO,234
Mechanical Engineers,t,2,WI,247
Mechanical Engineers,t,NA,MO,21
Mechanical Engineers,t,NA,WI,17
Mechanical Engineers,NA,NA,MO,2631
Mechanical Engineers,NA,NA,WI,7799
Network and Computer Systems Administrators,f,0,MO,454
Network and Computer Systems Administrators,f,0,WI,406
Network and Computer Systems Administrators,f,1,MO,1879
Network and Computer Systems Administrators,f,1,WI,2430
Network and Computer Systems Administrators,f,NA,MO,119
Network and Computer Systems Administrators,f,NA,WI,143
Network and Computer Systems Administrators,t,0,MO,448
Network and Computer Systems Administrators,t,0,WI,440
Network and Computer Systems Administrators,t,1,MO,306
Network and Computer Systems Administrators,t,1,WI,252
Network and Computer Systems Administrators,t,2,MO,1095
Network and Computer Systems Administrators,t,2,WI,1142
Network and Computer Systems Administrators,t,NA,MO,85
Network and Computer Systems Administrators,t,NA,WI,82
Network and Computer Systems Administrators,NA,NA,MO,8803
Network and Computer Systems Administrators,NA,NA,WI,8588
Receptionists and Information Clerks,f,0,MO,133
Receptionists and Information Clerks,f,0,WI,96
Receptionists and Information Clerks,f,1,MO,420
Receptionists and Information Clerks,f,1,WI,714
Receptionists and Information Clerks,f,NA,MO,39
Receptionists and Information Clerks,f,NA,WI,50
Receptionists and Information Clerks,NA,NA,MO,1427
Receptionists and Information Clerks,NA,NA,WI,2069
Software Developers,f,0,MO,1120
Software Developers,f,0,WI,641
Software Developers,f,1,MO,4190
Software Developers,f,1,WI,5479
Software Developers,f,NA,MO,423
Software Developers,f,NA,WI,410
Software Developers,t,0,MO,2551
Software Developers,t,0,WI,2850
Software Developers,t,1,MO,964
Software Developers,t,1,WI,587
Software Developers,t,2,MO,6522
Software Developers,t,2,WI,7228
Software Developers,t,NA,MO,455
Software Developers,t,NA,WI,445
Software Developers,NA,NA,MO,35579
Software Developers,NA,NA,WI,31804
Tellers,f,0,MO,190
Tellers,f,0,WI,186
Tellers,f,1,MO,843
Tellers,f,1,WI,2913
Tellers,f,NA,MO,71
Tellers,f,NA,WI,171
Tellers,NA,NA,MO,1247
Tellers,NA,NA,WI,4733
