year,Date,skills,vals,state,job_title
2024,2024-12-01,java,0,MO,Software Developers
2025,2025-01-01,sap,0,MO,Software Developers
2025,2025-01-01,finance,0,MO,Software Developers
2025,2025-01-01,technology,152,MO,Software Developers
2025,2025-01-01,analysis,34,MO,Software Developers
2025,2025-01-01,data,424,MO,Software Developers
2025,2025-01-01,support,344,MO,Software Developers
2025,2025-01-01,process,288,MO,Software Developers
2025,2025-01-01,project,154,MO,Software Developers
2025,2025-01-01,quality,92,MO,Software Developers
2025,2025-01-01,java,0,MO,Software Developers
2021,2021-03-01,support,30,MO,Network and Computer Systems Administrators
2021,2021-03-01,technology,15,MO,Network and Computer Systems Administrators
2021,2021-03-01,service,16,MO,Network and Computer Systems Administrators
2021,2021-03-01,science,0,MO,Network and Computer Systems Administrators
2021,2021-03-01,data,10,MO,Network and Computer Systems Administrators
2021,2021-03-01,project,11,MO,Network and Computer Systems Administrators
2021,2021-03-01,process,10,MO,Network and Computer Systems Administrators
2021,2021-03-01,git,1,MO,Network and Computer Systems Administrators
2021,2021-03-01,analysis,5,MO,Network and Computer Systems Administrators
2021,2021-03-01,quality,5,MO,Network and Computer Systems Administrators
2023,2023-05-01,support,14,MO,Network and Computer Systems Administrators
2023,2023-05-01,technology,8,MO,Network and Computer Systems Administrators
2023,2023-05-01,service,8,MO,Network and Computer Systems Administrators
2023,2023-05-01,science,0,MO,Network and Computer Systems Administrators
2023,2023-05-01,data,4,MO,Network and Computer Systems Administrators
2023,2023-05-01,project,6,MO,Network and Computer Systems Administrators
2023,2023-05-01,process,4,MO,Network and Computer Systems Administrators
2023,2023-05-01,git,4,MO,Network and Computer Systems Administrators
2023,2023-05-01,analysis,2,MO,Network and Computer Systems Administrators
2023,2023-05-01,quality,2,MO,Network and Computer Systems Administrators
2023,2023-06-01,support,47,MO,Network and Computer Systems Administrators
2023,2023-06-01,technology,11,MO,Network and Computer Systems Administrators
2023,2023-06-01,service,19,MO,Network and Computer Systems Administrators
2023,2023-06-01,science,2,MO,Network and Computer Systems Administrators
2023,2023-06-01,data,10,MO,Network and Computer Systems Administrators
2023,2023-06-01,project,8,MO,Network and Computer Systems Administrators
2023,2023-06-01,process,14,MO,Network and Computer Systems Administrators
2023,2023-06-01,git,2,MO,Network and Computer Systems Administrators
2023,2023-06-01,analysis,0,MO,Network and Computer Systems Administrators
2023,2023-06-01,quality,1,MO,Network and Computer Systems Administrators
2023,2023-07-01,support,40,MO,Network and Computer Systems Administrators
2023,2023-07-01,technology,17,MO,Network and Computer Systems Administrators
2023,2023-07-01,service,18,MO,Network and Computer Systems Administrators
2023,2023-07-01,science,2,MO,Network and Computer Systems Administrators
2023,2023-07-01,data,22,MO,Network and Computer Systems Administrators
2023,2023-07-01,project,12,MO,Network and Computer Systems Administrators
2023,2023-07-01,process,25,MO,Network and Computer Systems Administrators
2023,2023-07-01,git,4,MO,Network and Computer Systems Administrators
2023,2023-07-01,analysis,0,MO,Network and Computer Systems Administrators
2023,2023-07-01,quality,1,MO,Network and Computer Systems Administrators
2023,2023-08-01,support,50,MO,Network and Computer Systems Administrators
2023,2023-08-01,technology,17,MO,Network and Computer Systems Administrators
2023,2023-08-01,service,15,MO,Network and Computer Systems Administrators
2023,2023-08-01,science,2,MO,Network and Computer Systems Administrators
2023,2023-08-01,data,18,MO,Network and Computer Systems Administrators
2023,2023-08-01,project,14,MO,Network and Computer Systems Administrators
2023,2023-08-01,process,17,MO,Network and Computer Systems Administrators
2023,2023-08-01,git,5,MO,Network and Computer Systems Administrators
2023,2023-08-01,analysis,2,MO,Network and Computer Systems Administrators
2023,2023-08-01,quality,5,MO,Network and Computer Systems Administrators
2023,2023-09-01,support,51,MO,Network and Computer Systems Administrators
2023,2023-09-01,technology,7,MO,Network and Computer Systems Administrators
2023,2023-09-01,service,17,MO,Network and Computer Systems Administrators
2023,2023-09-01,science,5,MO,Network and Computer Systems Administrators
2023,2023-09-01,data,9,MO,Network and Computer Systems Administrators
2023,2023-09-01,project,9,MO,Network and Computer Systems Administrators
2023,2023-09-01,process,11,MO,Network and Computer Systems Administrators
2023,2023-09-01,git,1,MO,Network and Computer Systems Administrators
2023,2023-09-01,analysis,3,MO,Network and Computer Systems Administrators
2023,2023-09-01,quality,6,MO,Network and Computer Systems Administrators
2023,2023-10-01,support,27,MO,Network and Computer Systems Administrators
2023,2023-10-01,technology,21,MO,Network and Computer Systems Administrators
2023,2023-10-01,service,9,MO,Network and Computer Systems Administrators
2023,2023-10-01,science,0,MO,Network and Computer Systems Administrators
2023,2023-10-01,data,3,MO,Network and Computer Systems Administrators
2023,2023-10-01,project,16,MO,Network and Computer Systems Administrators
2023,2023-10-01,process,12,MO,Network and Computer Systems Administrators
2023,2023-10-01,git,11,MO,Network and Computer Systems Administrators
2023,2023-10-01,analysis,1,MO,Network and Computer Systems Administrators
2023,2023-10-01,quality,4,MO,Network and Computer Systems Administrators
2023,2023-11-01,support,35,MO,Network and Computer Systems Administrators
2023,2023-11-01,technology,2,MO,Network and Computer Systems Administrators
2023,2023-11-01,service,12,MO,Network and Computer Systems Administrators
2023,2023-11-01,science,7,MO,Network and Computer Systems Administrators
2023,2023-11-01,data,5,MO,Network and Computer Systems Administrators
2023,2023-11-01,project,8,MO,Network and Computer Systems Administrators
2023,2023-11-01,process,10,MO,Network and Computer Systems Administrators
2023,2023-11-01,git,0,MO,Network and Computer Systems Administrators
2023,2023-11-01,analysis,1,MO,Network and Computer Systems Administrators
2023,2023-11-01,quality,1,MO,Network and Computer Systems Administrators
2023,2023-12-01,support,27,MO,Network and Computer Systems Administrators
2023,2023-12-01,technology,4,MO,Network and Computer Systems Administrators
2023,2023-12-01,service,15,MO,Network and Computer Systems Administrators
2023,2023-12-01,science,4,MO,Network and Computer Systems Administrators
2023,2023-12-01,data,16,MO,Network and Computer Systems Administrators
2023,2023-12-01,project,9,MO,Network and Computer Systems Administrators
2023,2023-12-01,process,12,MO,Network and Computer Systems Administrators
2023,2023-12-01,git,0,MO,Network and Computer Systems Administrators
2023,2023-12-01,analysis,2,MO,Network and Computer Systems Administrators
2023,2023-12-01,quality,1,MO,Network and Computer Systems Administrators
2024,2024-01-01,support,34,MO,Network and Computer Systems Administrators
2024,2024-01-01,technology,13,MO,Network and Computer Systems Administrators
2024,2024-01-01,service,11,MO,Network and Computer Systems Administrators
2024,2024-01-01,science,0,MO,Network and Computer Systems Administrators
2024,2024-01-01,data,11,MO,Network and Computer Systems Administrators
2024,2024-01-01,project,6,MO,Network and Computer Systems Administrators
2024,2024-01-01,process,7,MO,Network and Computer Systems Administrators
2024,2024-01-01,git,0,MO,Network and Computer Systems Administrators
2024,2024-01-01,analysis,5,MO,Network and Computer Systems Administrators
2024,2024-01-01,quality,4,MO,Network and Computer Systems Administrators
2024,2024-02-01,support,32,MO,Network and Computer Systems Administrators
2024,2024-02-01,technology,22,MO,Network and Computer Systems Administrators
2024,2024-02-01,service,14,MO,Network and Computer Systems Administrators
2024,2024-02-01,science,4,MO,Network and Computer Systems Administrators
2024,2024-02-01,data,10,MO,Network and Computer Systems Administrators
2024,2024-02-01,project,14,MO,Network and Computer Systems Administrators
2024,2024-02-01,process,4,MO,Network and Computer Systems Administrators
2024,2024-02-01,git,0,MO,Network and Computer Systems Administrators
2024,2024-02-01,analysis,5,MO,Network and Computer Systems Administrators
2024,2024-02-01,quality,0,MO,Network and Computer Systems Administrators
2024,2024-03-01,support,54,MO,Network and Computer Systems Administrators
2024,2024-03-01,technology,8,MO,Network and Computer Systems Administrators
2024,2024-03-01,service,14,MO,Network and Computer Systems Administrators
2024,2024-03-01,science,2,MO,Network and Computer Systems Administrators
2024,2024-03-01,data,14,MO,Network and Computer Systems Administrators
2024,2024-03-01,project,9,MO,Network and Computer Systems Administrators
2024,2024-03-01,process,8,MO,Network and Computer Systems Administrators
2024,2024-03-01,git,1,MO,Network and Computer Systems Administrators
2024,2024-03-01,analysis,4,MO,Network and Computer Systems Administrators
2024,2024-03-01,quality,3,MO,Network and Computer Systems Administrators
2024,2024-04-01,support,67,MO,Network and Computer Systems Administrators
2024,2024-04-01,technology,16,MO,Network and Computer Systems Administrators
2024,2024-04-01,service,6,MO,Network and Computer Systems Administrators
2024,2024-04-01,science,5,MO,Network and Computer Systems Administrators
2024,2024-04-01,data,10,MO,Network and Computer Systems Administrators
2024,2024-04-01,project,12,MO,Network and Computer Systems Administrators
2024,2024-04-01,process,14,MO,Network and Computer Systems Administrators
2024,2024-04-01,git,2,MO,Network and Computer Systems Administrators
2024,2024-04-01,analysis,6,MO,Network and Computer Systems Administrators
2024,2024-04-01,quality,1,MO,Network and Computer Systems Administrators
2024,2024-05-01,support,31,MO,Network and Computer Systems Administrators
2024,2024-05-01,technology,6,MO,Network and Computer Systems Administrators
2024,2024-05-01,service,9,MO,Network and Computer Systems Administrators
2024,2024-05-01,science,10,MO,Network and Computer Systems Administrators
2024,2024-05-01,data,10,MO,Network and Computer Systems Administrators
2024,2024-05-01,project,4,MO,Network and Computer Systems Administrators
2024,2024-05-01,process,10,MO,Network and Computer Systems Administrators
2024,2024-05-01,git,0,MO,Network and Computer Systems Administrators
2024,2024-05-01,analysis,5,MO,Network and Computer Systems Administrators
2024,2024-05-01,quality,1,MO,Network and Computer Systems Administrators
2024,2024-06-01,support,15,MO,Network and Computer Systems Administrators
2024,2024-06-01,technology,5,MO,Network and Computer Systems Administrators
2024,2024-06-01,service,7,MO,Network and Computer Systems Administrators
2024,2024-06-01,science,4,MO,Network and Computer Systems Administrators
2024,2024-06-01,data,17,MO,Network and Computer Systems Administrators
2024,2024-06-01,project,5,MO,Network and Computer Systems Administrators
2024,2024-06-01,process,8,MO,Network and Computer Systems Administrators
2024,2024-06-01,git,0,MO,Network and Computer Systems Administrators
2024,2024-06-01,analysis,3,MO,Network and Computer Systems Administrators
2024,2024-06-01,quality,1,MO,Network and Computer Systems Administrators
2024,2024-07-01,support,23,MO,Network and Computer Systems Administrators
2024,2024-07-01,technology,2,MO,Network and Computer Systems Administrators
2024,2024-07-01,service,10,MO,Network and Computer Systems Administrators
2024,2024-07-01,science,3,MO,Network and Computer Systems Administrators
2024,2024-07-01,data,11,MO,Network and Computer Systems Administrators
2024,2024-07-01,project,5,MO,Network and Computer Systems Administrators
2024,2024-07-01,process,4,MO,Network and Computer Systems Administrators
2024,2024-07-01,git,2,MO,Network and Computer Systems Administrators
2024,2024-07-01,analysis,4,MO,Network and Computer Systems Administrators
2024,2024-07-01,quality,2,MO,Network and Computer Systems Administrators
2024,2024-08-01,support,24,MO,Network and Computer Systems Administrators
2024,2024-08-01,technology,6,MO,Network and Computer Systems Administrators
2024,2024-08-01,service,7,MO,Network and Computer Systems Administrators
2024,2024-08-01,science,4,MO,Network and Computer Systems Administrators
2024,2024-08-01,data,9,MO,Network and Computer Systems Administrators
2024,2024-08-01,project,7,MO,Network and Computer Systems Administrators
2024,2024-08-01,process,6,MO,Network and Computer Systems Administrators
2024,2024-08-01,git,0,MO,Network and Computer Systems Administrators
2024,2024-08-01,analysis,1,MO,Network and Computer Systems Administrators
2024,2024-08-01,quality,4,MO,Network and Computer Systems Administrators
2024,2024-09-01,support,25,MO,Network and Computer Systems Administrators
2024,2024-09-01,technology,2,MO,Network and Computer Systems Administrators
2024,2024-09-01,service,15,MO,Network and Computer Systems Administrators
2024,2024-09-01,science,1,MO,Network and Computer Systems Administrators
2024,2024-09-01,data,6,MO,Network and Computer Systems Administrators
2024,2024-09-01,project,9,MO,Network and Computer Systems Administrators
2024,2024-09-01,process,9,MO,Network and Computer Systems Administrators
2024,2024-09-01,git,0,MO,Network and Computer Systems Administrators
2024,2024-09-01,analysis,1,MO,Network and Computer Systems Administrators
2024,2024-09-01,quality,2,MO,Network and Computer Systems Administrators
2024,2024-10-01,support,33,MO,Network and Computer Systems Administrators
2024,2024-10-01,technology,6,MO,Network and Computer Systems Administrators
2024,2024-10-01,service,11,MO,Network and Computer Systems Administrators
2024,2024-10-01,science,1,MO,Network and Computer Systems Administrators
2024,2024-10-01,data,7,MO,Network and Computer Systems Administrators
2024,2024-10-01,project,3,MO,Network and Computer Systems Administrators
2024,2024-10-01,process,9,MO,Network and Computer Systems Administrators
2024,2024-10-01,git,0,MO,Network and Computer Systems Administrators
2024,2024-10-01,analysis,2,MO,Network and Computer Systems Administrators
2024,2024-10-01,quality,0,MO,Network and Computer Systems Administrators
2024,2024-11-01,support,45,MO,Network and Computer Systems Administrators
2024,2024-11-01,technology,0,MO,Network and Computer Systems Administrators
2024,2024-11-01,service,4,MO,Network and Computer Systems Administrators
2024,2024-11-01,science,1,MO,Network and Computer Systems Administrators
2024,2024-11-01,data,4,MO,Network and Computer Systems Administrators
2024,2024-11-01,project,7,MO,Network and Computer Systems Administrators
2024,2024-11-01,process,7,MO,Network and Computer Systems Administrators
2024,2024-11-01,git,0,MO,Network and Computer Systems Administrators
2024,2024-11-01,analysis,1,MO,Network and Computer Systems Administrators
2024,2024-11-01,quality,4,MO,Network and Computer Systems Administrators
2024,2024-12-01,support,11,MO,Network and Computer Systems Administrators
2024,2024-12-01,technology,1,MO,Network and Computer Systems Administrators
2024,2024-12-01,service,4,MO,Network and Computer Systems Administrators
2024,2024-12-01,science,1,MO,Network and Computer Systems Administrators
2024,2024-12-01,data,8,MO,Network and Computer Systems Administrators
2024,2024-12-01,project,5,MO,Network and Computer Systems Administrators
2024,2024-12-01,process,6,MO,Network and Computer Systems Administrators
2024,2024-12-01,git,0,MO,Network and Computer Systems Administrators
2024,2024-12-01,analysis,3,MO,Network and Computer Systems Administrators
2024,2024-12-01,quality,6,MO,Network and Computer Systems Administrators
2025,2025-01-01,support,85,MO,Network and Computer Systems Administrators
2025,2025-01-01,technology,13,MO,Network and Computer Systems Administrators
2025,2025-01-01,service,24,MO,Network and Computer Systems Administrators
2025,2025-01-01,science,3,MO,Network and Computer Systems Administrators
2025,2025-01-01,data,18,MO,Network and Computer Systems Administrators
2025,2025-01-01,project,13,MO,Network and Computer Systems Administrators
2025,2025-01-01,process,13,MO,Network and Computer Systems Administrators
2025,2025-01-01,git,0,MO,Network and Computer Systems Administrators
2025,2025-01-01,analysis,1,MO,Network and Computer Systems Administrators
2025,2025-01-01,quality,4,MO,Network and Computer Systems Administrators
2021,2021-01-01,project,5,WI,Mechanical Engineers
2021,2021-01-01,technology,0,WI,Mechanical Engineers
2021,2021-01-01,support,3,WI,Mechanical Engineers
2021,2021-01-01,process,7,WI,Mechanical Engineers
2021,2021-01-01,science,1,WI,Mechanical Engineers
2021,2021-01-01,detail,1,WI,Mechanical Engineers
2021,2021-01-01,software,1,WI,Mechanical Engineers
2021,2021-01-01,cad,0,WI,Mechanical Engineers
2021,2021-01-01,problem,1,WI,Mechanical Engineers
2021,2021-01-01,excel,0,WI,Mechanical Engineers
2021,2021-02-01,project,7,WI,Mechanical Engineers
2021,2021-02-01,technology,1,WI,Mechanical Engineers
2021,2021-02-01,support,7,WI,Mechanical Engineers
2021,2021-02-01,process,6,WI,Mechanical Engineers
2021,2021-02-01,science,0,WI,Mechanical Engineers
2021,2021-02-01,detail,1,WI,Mechanical Engineers
2021,2021-02-01,software,0,WI,Mechanical Engineers
2021,2021-02-01,cad,0,WI,Mechanical Engineers
2021,2021-02-01,problem,6,WI,Mechanical Engineers
2021,2021-02-01,excel,1,WI,Mechanical Engineers
2021,2021-03-01,project,21,WI,Mechanical Engineers
2021,2021-03-01,technology,1,WI,Mechanical Engineers
2021,2021-03-01,support,18,WI,Mechanical Engineers
2021,2021-03-01,process,17,WI,Mechanical Engineers
2021,2021-03-01,science,0,WI,Mechanical Engineers
2021,2021-03-01,detail,1,WI,Mechanical Engineers
2021,2021-03-01,software,2,WI,Mechanical Engineers
2021,2021-03-01,cad,0,WI,Mechanical Engineers
2021,2021-03-01,problem,11,WI,Mechanical Engineers
2021,2021-03-01,excel,0,WI,Mechanical Engineers
2021,2021-04-01,project,23,WI,Mechanical Engineers
2021,2021-04-01,technology,23,WI,Mechanical Engineers
2021,2021-04-01,support,18,WI,Mechanical Engineers
2021,2021-04-01,process,3,WI,Mechanical Engineers
2021,2021-04-01,science,2,WI,Mechanical Engineers
2021,2021-04-01,detail,2,WI,Mechanical Engineers
2021,2021-04-01,software,1,WI,Mechanical Engineers
2021,2021-04-01,cad,0,WI,Mechanical Engineers
2021,2021-04-01,problem,13,WI,Mechanical Engineers
2021,2021-04-01,excel,8,WI,Mechanical Engineers
2021,2021-05-01,project,13,WI,Mechanical Engineers
2021,2021-05-01,technology,8,WI,Mechanical Engineers
2021,2021-05-01,support,15,WI,Mechanical Engineers
2021,2021-05-01,process,0,WI,Mechanical Engineers
2021,2021-05-01,science,0,WI,Mechanical Engineers
2021,2021-05-01,detail,0,WI,Mechanical Engineers
2021,2021-05-01,software,3,WI,Mechanical Engineers
2021,2021-05-01,cad,0,WI,Mechanical Engineers
2021,2021-05-01,problem,13,WI,Mechanical Engineers
2021,2021-05-01,excel,3,WI,Mechanical Engineers
2021,2021-06-01,project,9,WI,Mechanical Engineers
2021,2021-06-01,technology,4,WI,Mechanical Engineers
2021,2021-06-01,support,5,WI,Mechanical Engineers
2021,2021-06-01,process,1,WI,Mechanical Engineers
2021,2021-06-01,science,0,WI,Mechanical Engineers
2021,2021-06-01,detail,0,WI,Mechanical Engineers
2021,2021-06-01,software,2,WI,Mechanical Engineers
2021,2021-06-01,cad,0,WI,Mechanical Engineers
2021,2021-06-01,problem,9,WI,Mechanical Engineers
2021,2021-06-01,excel,2,WI,Mechanical Engineers
2021,2021-07-01,project,28,WI,Mechanical Engineers
2021,2021-07-01,technology,8,WI,Mechanical Engineers
2021,2021-07-01,support,15,WI,Mechanical Engineers
2021,2021-07-01,process,5,WI,Mechanical Engineers
2021,2021-07-01,science,1,WI,Mechanical Engineers
2021,2021-07-01,detail,1,WI,Mechanical Engineers
2021,2021-07-01,software,6,WI,Mechanical Engineers
